;AllC;AllD;EasyGo;HardMajo;HardNM;HardTf2t;HardTft;Mistrust;Pavlov;PerCCD;PerCD;PerDC;PerDDC;Prober;SlowTft;SoftMajo;SoftNM;Spiteful;Tf2t;TFT;ThreeTFT;TwoTFT;
AllC;3000;0;2997;2997;2997;3000;3000;2997;3000;2001;1500;1500;999;6;3000;3000;3000;3000;3000;3000;3000;3000;
AllD;5000;1000;1000;1000;1000;1008;1004;1000;3000;3668;3000;3000;2332;1008;1008;1004;1004;1004;1008;1004;1004;1004;
EasyGo;3002;1000;1000;1000;1000;3002;3000;2997;3000;2001;1500;1500;999;6;3000;3000;3000;3000;3000;3000;3000;3000;
HardMajo;3002;1000;1000;1000;1000;1008;1004;1000;3000;3668;3000;3000;2332;1008;1008;1004;1004;1004;1008;1004;1004;1004;
HardNM;3002;1000;1000;1000;1000;3002;1003;1000;2003;2669;2500;2501;1999;3000;1008;2500;2500;1003;3002;2500;1003;1003;
HardTf2t;3000;998;2997;998;2997;3000;3000;2997;3000;2001;1500;1500;1998;1001;2999;3000;3000;3000;3000;3000;3000;3000;
HardTft;3000;999;3000;999;1003;3000;3000;1003;2999;3333;2999;2999;2332;1010;1009;1007;1007;1003;3002;3000;3000;3000;
Mistrust;3002;1000;3002;1000;1000;3002;1003;1000;2003;2669;2500;2501;1999;3000;1008;2500;2500;1003;3002;2500;1003;1003;
Pavlov;3000;500;3000;500;1998;3000;504;1998;3000;2833;2250;2250;1332;2003;3000;3000;3000;3000;3000;3000;3000;3000;
PerCCD;3666;333;3666;333;2664;3666;1668;2664;2003;2334;2000;1999;1665;340;1671;3666;2667;343;3666;2667;343;1671;
PerCD;4000;500;4000;500;2500;4000;504;2500;2250;2835;2000;2500;1665;2503;507;4000;2503;507;4000;2503;507;507;
PerDC;4000;500;4000;500;2496;4000;504;2496;2250;2834;2500;2000;1666;2499;507;2500;2500;504;4000;2500;504;504;
PerDDC;4334;667;4334;667;1999;2003;667;1999;3002;3335;2500;2501;1666;2006;675;671;2003;671;3335;2003;671;671;
Prober;4996;998;4996;998;2995;1016;1005;2995;1998;3665;2498;2499;1996;2998;1008;2999;2999;1002;3002;2999;1002;1005;
SlowTft;3000;998;3000;998;1008;2999;1004;1008;3000;3331;2997;2997;2330;1008;3000;3000;3000;3000;3000;3000;3000;3000;
SoftMajo;3000;999;3000;999;2500;3000;1002;2500;3000;2001;1500;2500;2331;2999;3000;3000;3000;3000;3000;3000;3000;3000;
SoftNM;3000;999;3000;999;2500;3000;1002;2500;3000;2667;2498;2500;1998;2999;3000;3000;3000;3000;3000;3000;3000;3000;
Spiteful;3000;999;3000;999;1003;3000;1003;1003;3000;3663;2997;2999;2331;1007;3000;3000;3000;3000;3000;3000;3000;3000;
Tf2t;3000;998;3000;998;2997;3000;2997;2997;3000;2001;1500;1500;1665;2997;3000;3000;3000;3000;3000;3000;3000;3000;
TFT;3000;999;3000;999;2500;3000;3000;2500;3000;2667;2498;2500;1998;2999;3000;3000;3000;3000;3000;3000;3000;3000;
ThreeTFT;3000;999;3000;999;1003;3000;3000;1003;3000;3663;2997;2999;2331;1007;3000;3000;3000;3000;3000;3000;3000;3000;
TwoTFT;3000;999;3000;999;1003;3000;3000;1003;3000;3331;2997;2999;2331;1010;3000;3000;3000;3000;3000;3000;3000;3000;
